Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo-searchtest,Chrome 124.0.0.0,,,23-05-2024 19:56:51,23-05-2024 19:57:12,21.144s,PASSED
,,,,,,,
Test Cases/Demo-searchtest,Chrome 124.0.0.0,https://daxue.koolearn.com/,product,23-05-2024 19:56:51,23-05-2024 19:57:03,11.891s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 19:56:51,23-05-2024 19:56:52,1.319s,PASSED
"navigateToUrl(""https://daxue.koolearn.com/"")",Chrome 124.0.0.0,,,23-05-2024 19:56:52,23-05-2024 19:56:57,5.151s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/img__w-32px h-32px absolute top-0 right--48_3643d3""))",Chrome 124.0.0.0,,,23-05-2024 19:56:57,23-05-2024 19:56:58,0.380s,PASSED
"setText(findTestObject(""Object Repository/Demo-searchtest/Page__/input__keyword""), ""在职考研"")",Chrome 124.0.0.0,,,23-05-2024 19:56:58,23-05-2024 19:56:59,1.591s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/button_""))",Chrome 124.0.0.0,,,23-05-2024 19:56:59,23-05-2024 19:57:00,0.366s,PASSED
"switchToWindowTitle(""新东方在线官网_新东方旗下远程教育网站,新东方网络课堂,新东方网校,新东方官方网校,新东方网络课程,新东方考研辅导班"")",Chrome 124.0.0.0,,,23-05-2024 19:57:00,23-05-2024 19:57:02,2.265s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__,,,,,/div_2025""))",Chrome 124.0.0.0,,,23-05-2024 19:57:02,23-05-2024 19:57:02,0.366s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 19:57:02,23-05-2024 19:57:03,0.116s,PASSED
,,,,,,,
Test Cases/Demo-searchtest,Chrome 124.0.0.0,https://daxue.koolearn.com/,product,23-05-2024 19:57:03,23-05-2024 19:57:12,9.179s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,23-05-2024 19:57:03,23-05-2024 19:57:03,0.829s,PASSED
"navigateToUrl(""https://daxue.koolearn.com/"")",Chrome 124.0.0.0,,,23-05-2024 19:57:03,23-05-2024 19:57:07,3.450s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/img__w-32px h-32px absolute top-0 right--48_3643d3""))",Chrome 124.0.0.0,,,23-05-2024 19:57:07,23-05-2024 19:57:07,0.614s,PASSED
"setText(findTestObject(""Object Repository/Demo-searchtest/Page__/input__keyword""), ""在职考研"")",Chrome 124.0.0.0,,,23-05-2024 19:57:07,23-05-2024 19:57:09,1.037s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__/button_""))",Chrome 124.0.0.0,,,23-05-2024 19:57:09,23-05-2024 19:57:09,0.327s,PASSED
"switchToWindowTitle(""新东方在线官网_新东方旗下远程教育网站,新东方网络课堂,新东方网校,新东方官方网校,新东方网络课程,新东方考研辅导班"")",Chrome 124.0.0.0,,,23-05-2024 19:57:09,23-05-2024 19:57:11,2.491s,PASSED
"click(findTestObject(""Object Repository/Demo-searchtest/Page__,,,,,/div_2025""))",Chrome 124.0.0.0,,,23-05-2024 19:57:11,23-05-2024 19:57:12,0.287s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,23-05-2024 19:57:12,23-05-2024 19:57:12,0.111s,PASSED
